split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number,iter_num,param_reg_alpha,param_reg_lambda,param_colsample_bytree,param_subsample
0.8244684598435763,0.6717987168207746,0.3375749208096287,0.6112806991579932,0.2033275722155837,89,0.9453314940134684,0.3799914434850069,0.001300652821858724,6.314757604666322e-05,17.0,10.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 10)])",BO for 1 group,0,1,,,,
0.8102518133391533,0.6448148201984654,0.3495275532690104,0.6015313956022097,0.19056372877663086,147,0.5994338194529215,0.004606227492707548,0.0012471675872802734,6.49645786312784e-05,11.0,9.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 9)])",BO for 1 group,0,2,,,,
0.8128415485888324,0.6895533540102946,0.2534273240101145,0.5852740755364138,0.2399884644512828,200,0.446805477142334,0.005305920849615662,0.0009411176045735675,1.3223576985320704e-05,3.0,17.0,"OrderedDict([('max_depth', 3), ('min_child_weight', 17)])",BO for 1 group,0,3,,,,
0.7865470498201211,0.6733561853135053,0.31245405932437564,0.5907857648193341,0.2021623879702288,187,0.6903405984242758,0.004938860201313748,0.0011207262674967446,2.1427922760171865e-05,18.0,17.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 17)])",BO for 1 group,0,4,,,,
0.8190149839321093,0.6806247812004873,0.35163019448219723,0.6170899865382645,0.19602659335213127,53,0.5885040760040283,0.00641412859422749,0.0011577606201171875,2.4429083216799936e-05,9.0,6.0,"OrderedDict([('max_depth', 9), ('min_child_weight', 6)])",BO for 1 group,0,5,,,,
0.6295000417993758,0.6941214627680468,0.3165736699293884,0.5467317248322704,0.1648707164002774,232,0.5150708357493082,0.004516753878717618,0.001079082489013672,5.245244864137118e-05,5.0,1.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 1)])",BO for 1 group,0,6,,,,
0.7933757923246006,0.6474086330514336,0.2915012632545847,0.5774285628768729,0.21078016731267654,214,0.5212482611338297,0.003256478209785565,0.0010907649993896484,3.539907090560748e-05,11.0,19.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 19)])",BO for 1 group,0,7,,,,
0.8106437033514462,0.644859761533917,0.34394273700557176,0.5998154006303117,0.19317383161969934,156,0.6127377351125082,0.0016975261335521387,0.0012882550557454426,0.00014911938055139022,14.0,9.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 9)])",BO for 1 group,0,8,,,,
0.8049586247581404,0.6556629069623123,0.3564543405528281,0.6056919574244269,0.1864793913294769,122,1.0084048112233481,0.019565880740199645,0.0012816588083902993,3.839172550588259e-05,19.0,7.0,"OrderedDict([('max_depth', 19), ('min_child_weight', 7)])",BO for 1 group,0,9,,,,
0.7988092868253458,0.6881206796521978,0.35378323983380777,0.6135710687704505,0.189174133163414,74,1.3388768831888835,0.0066025979483265865,0.0011821587880452473,1.593108751084115e-05,20.0,13.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 13)])",BO for 1 group,0,10,,,,
0.8350891154982452,0.6131279998093787,0.3426104088106765,0.5969425080394335,0.2013790732971714,171,1.5455098946889239,0.016271759807352057,0.0014383792877197266,9.489898069502924e-05,20.0,5.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 5)])",BO for 1 group,0,11,,,,
0.8375269945567723,0.5908250286459114,0.21549459533633555,0.5479488728463396,0.2557470755415658,231,0.3796110153198242,0.003296219354485814,0.000850518544514974,3.876646669110947e-05,1.0,13.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 13)])",BO for 1 group,0,12,,,,
0.8489308318671481,0.5522789256875136,0.22447574956468894,0.5418951690397836,0.2550384340381298,237,0.3797415892283122,0.00320372041619927,0.0008852481842041016,5.2415589436666135e-05,1.0,6.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 6)])",BO for 1 group,0,13,,,,
0.7974696115362909,0.6498610975180271,0.290505865568081,0.5792788582074664,0.21289974058399716,207,1.2969345251719158,0.00964629529109538,0.001116037368774414,2.324550579554769e-05,20.0,20.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,0,14,,,,
0.612817980831015,0.6464522549453467,0.24391368434125735,0.5010613067058731,0.18234855061051028,243,1.037030537923177,0.06669824258276277,0.0014006296793619792,3.091136695955821e-05,12.0,1.0,"OrderedDict([('max_depth', 12), ('min_child_weight', 1)])",BO for 1 group,0,15,,,,
0.8424745663016394,0.5851013231528011,0.204416602655775,0.5439974973700717,0.26210256848984337,235,0.3815977573394776,0.004137370395248161,0.001405159632364909,0.000724563027265376,1.0,20.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 20)])",BO for 1 group,0,16,,,,
0.8183630544987456,0.6837684828536033,0.3547594804187463,0.618963672590365,0.19473369174315655,38,0.5246922175089518,0.0073923173331517655,0.0010890165964762368,6.371840296333378e-05,7.0,10.0,"OrderedDict([('max_depth', 7), ('min_child_weight', 10)])",BO for 1 group,0,17,,,,
0.8024117875011094,0.6473428905824252,0.3421926956920699,0.5973157912585348,0.19118479039305766,169,0.5380565325419108,0.007997293260248558,0.0010252793629964194,1.1088101688769756e-05,7.0,7.0,"OrderedDict([('max_depth', 7), ('min_child_weight', 7)])",BO for 1 group,0,18,,,,
0.7862267633362452,0.6950309235392493,0.3287161141184421,0.6033246003313123,0.19771450094207876,140,0.5276633898417155,0.005367611324340743,0.0010826587677001953,1.161337526950759e-05,8.0,13.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 13)])",BO for 1 group,0,19,,,,
0.8254286076302569,0.6717987168207746,0.3451582004589874,0.6141285083033395,0.2002653335185558,72,1.3723654747009275,0.0022030020774573915,0.0012008349100748699,1.540257012914717e-05,20.0,10.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 10)])",BO for 1 group,0,20,,,,
0.7889322878758013,0.6408630493893411,0.2832462805290795,0.571013872598074,0.21227146947620396,224,0.4949246247609456,0.006145881824650288,0.0010285377502441406,6.337540761105188e-05,6.0,20.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 20)])",BO for 1 group,0,21,,,,
0.7996336348952244,0.6862256956119794,0.34734404761522186,0.6110677927074752,0.19214230918294373,93,0.5777580738067627,0.005947658451310607,0.0014173189798990884,0.0003325368766986333,14.0,13.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 13)])",BO for 1 group,0,22,,,,
0.8036932735260693,0.6771965432803844,0.3429909108767661,0.6079602425610733,0.1943483397418729,109,0.5500401655832926,0.009877743127952136,0.0010915597279866538,3.4786424544349764e-05,9.0,11.0,"OrderedDict([('max_depth', 9), ('min_child_weight', 11)])",BO for 1 group,0,23,,,,
