split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number
0.6339903310427164,0.624550498004796,0.6746947314091718,0.6444118534855614,0.02175725370917587,168,1.147936503092448,0.010375850231171579,0.01475214958190918,0.00035830068876328516,11,17,"OrderedDict([('max_depth', 11), ('min_child_weight', 17)])",BO for 1 group,4.0
0.6305479291104501,0.617480039965284,0.6751284128340678,0.6410521273032673,0.024679105310094058,194,1.7373298803965251,0.0306267205942912,0.014889399210611979,0.00028718804158244513,14,17,"OrderedDict([('max_depth', 14), ('min_child_weight', 17)])",BO for 1 group,4.0
0.6091357380562076,0.5658076079371047,0.619755833909872,0.5982330599677281,0.0233345818265216,235,0.4358728726704915,0.011751346800125509,0.013559500376383463,0.0007883178593201479,2,17,"OrderedDict([('max_depth', 2), ('min_child_weight', 17)])",BO for 1 group,4.0
0.6136524252513991,0.6314604478742176,0.6691016844000788,0.6380715191752319,0.02311471079701814,213,3.6896584828694663,0.08111777059176518,0.016211271286010742,0.00030258358045342495,18,11,"OrderedDict([('max_depth', 18), ('min_child_weight', 11)])",BO for 1 group,4.0
0.5978026906476028,0.6007555968952814,0.6430937177580067,0.6138840017669637,0.020689539144777867,232,9.212308883666992,0.3021691353727323,0.016788482666015625,0.0003338808538023626,19,4,"OrderedDict([('max_depth', 19), ('min_child_weight', 4)])",BO for 1 group,4.0
0.6559581900407312,0.6275474124896607,0.7017097609152158,0.6617384544818692,0.030551291012061117,19,0.5115489959716797,0.011248752463905103,0.0131529172261556,0.0005240762637218798,4,3,"OrderedDict([('max_depth', 4), ('min_child_weight', 3)])",BO for 1 group,4.0
0.6282250734526194,0.586756353837175,0.6826119219317219,0.6325311164071721,0.03925114850232133,222,0.4631689389546712,0.010314140688191694,0.012523015340169271,0.0004533741159013239,3,17,"OrderedDict([('max_depth', 3), ('min_child_weight', 17)])",BO for 1 group,4.0
0.6240658137670567,0.611837369562367,0.6871313061029143,0.6410114964774459,0.032991527617797875,195,0.654993454615275,0.006216828176871372,0.013183991114298502,0.0007292384828880681,7,18,"OrderedDict([('max_depth', 7), ('min_child_weight', 18)])",BO for 1 group,4.0
0.5946890855117796,0.6016075317186129,0.6443053721282608,0.6135339964528844,0.02194120013726945,233,2.6326047579447427,0.17891881745982866,0.014709154764811197,0.0007466484600708807,12,4,"OrderedDict([('max_depth', 12), ('min_child_weight', 4)])",BO for 1 group,4.0
0.6364376807353167,0.6084152899536945,0.6800724336057762,0.6416418014315958,0.029484444636224103,188,0.5042805671691895,0.014309047281622357,0.012904802958170572,0.0006475050744193925,4,14,"OrderedDict([('max_depth', 4), ('min_child_weight', 14)])",BO for 1 group,4.0
0.5135950312694966,0.5120290116274124,0.632871706026906,0.5528319163079384,0.056600288916060434,240,39.0791380405426,0.3889950766902637,0.022531986236572266,0.00017350889229614716,20,1,"OrderedDict([('max_depth', 20), ('min_child_weight', 1)])",BO for 1 group,4.0
0.3776982897807648,0.3707773501472197,0.40113506526967224,0.38320356839921893,0.012990478214551408,242,0.3995498816172282,0.010633372355449639,0.012666861216227213,0.0003280513929513651,1,1,"OrderedDict([('max_depth', 1), ('min_child_weight', 1)])",BO for 1 group,4.0
0.6238432510605842,0.6206607712679588,0.682943710640622,0.6424825776563884,0.028639826654311258,182,1.2584022680918376,0.03939102150899986,0.013489484786987305,0.00014613678106201685,11,13,"OrderedDict([('max_depth', 11), ('min_child_weight', 13)])",BO for 1 group,4.0
0.6299162772205187,0.6327456283608033,0.6770086984705073,0.6465568680172764,0.021563654458880508,131,3.6566980679829917,0.11372034056048598,0.014182964960734049,0.00013896160746295548,20,20,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,4.0
0.3776982897807648,0.3707773501472197,0.40167337287196136,0.3833830042666486,0.013238278819178157,241,0.39823031425476074,0.011122608547941,0.012005488077799479,0.0002086650095088366,1,9,"OrderedDict([('max_depth', 1), ('min_child_weight', 9)])",BO for 1 group,4.0
0.630758323293388,0.6565366094556929,0.698999897887402,0.6620982768788276,0.028135709625098183,8,0.6011104583740234,0.009386843003502015,0.012182315190633139,7.744221385385812e-05,5,1,"OrderedDict([('max_depth', 5), ('min_child_weight', 1)])",BO for 1 group,4.0
0.6283196236692554,0.6232710753608528,0.6821248535650473,0.6445718508650519,0.02663385025169996,161,0.8370688756306967,0.01917804246746381,0.012875954310099283,3.1423854135166824e-05,9,20,"OrderedDict([('max_depth', 9), ('min_child_weight', 20)])",BO for 1 group,4.0
0.6332510969942892,0.6358504919641212,0.6741888892799481,0.6477634927461196,0.018715686825581338,117,2.049462874730428,0.0528650532001531,0.013343095779418945,0.00012446682967556815,16,20,"OrderedDict([('max_depth', 16), ('min_child_weight', 20)])",BO for 1 group,4.0
0.523146610511956,0.5214888982816738,0.6408322690213385,0.5618225926049895,0.05587237676480061,238,17.286730130513508,0.4920334787457308,0.01678752899169922,0.0002734623340300516,16,1,"OrderedDict([('max_depth', 16), ('min_child_weight', 1)])",BO for 1 group,4.0
0.5920094044046746,0.6284695067696588,0.6855497874233132,0.6353428995325489,0.03849574400608559,216,1.3185346921284993,0.0314184468173985,0.01281881332397461,0.00012703676340944324,8,1,"OrderedDict([('max_depth', 8), ('min_child_weight', 1)])",BO for 1 group,4.0
0.6247118042017905,0.6329468474609472,0.6757298068813038,0.6444628195146805,0.02236324899783096,165,2.5813727378845215,0.07104396710292438,0.013916254043579102,0.00019500745154318435,18,20,"OrderedDict([('max_depth', 18), ('min_child_weight', 20)])",BO for 1 group,4.0
